PRIMARY_KEY,STATE,YEAR,ENROLL,TOTAL_REVENUE,FEDERAL_REVENUE,STATE_REVENUE,LOCAL_REVENUE,TOTAL_EXPENDITURE,INSTRUCTION_EXPENDITURE,SUPPORT_SERVICES_EXPENDITURE,OTHER_EXPENDITURE,CAPITAL_OUTLAY_EXPENDITURE,GRADES_PK_G,GRADES_KG_G,GRADES_4_G,GRADES_8_G,GRADES_12_G,GRADES_1_8_G,GRADES_9_12_G,GRADES_ALL_G,AVG_MATH_4_SCORE,AVG_MATH_8_SCORE,AVG_READING_4_SCORE,AVG_READING_8_SCORE
1993_IOWA,IOWA,1993,493957,2880731,131444,1299055,1450232,2889377,1522556,818922,114390,196098,5430,36348,36370,38548,32588,297395,142601,445426,,,,
1993_KANSAS,KANSAS,1993,451469,2386945,123082,1165178,1098685,2522542,1309958,802965,142268,195674,2432,34575,35975,35902,27644,290339,127081,419852,,,,
1993_KENTUCKY,KENTUCKY,1993,489281,2381148,216900,1529326,634922,2283431,1247496,711873,151526,127578,15732,43340,48083,51306,37629,399494,184356,599582,,,,
1993_LOUISIANA,LOUISIANA,1993,795719,3438321,397206,1876967,1164148,3427102,1898515,997974,262609,173012,12857,61133,60077,56522,39826,485035,202283,700175,,,,
1993_MAINE,MAINE,1993,211511,1368095,77440,652164,638491,1321846,809278,328664,67864,55490,1036,17536,17237,15844,13446,135445,59632,196113,,,,
1993_MARYLAND,MARYLAND,1993,751850,4918010,252211,1940713,2725086,4898895,2785206,1508203,224147,324925,17984,60378,61199,55285,40661,484461,197072,699517,,,,
1993_MASSACHUSETTS,MASSACHUSETTS,1993,862495,6121612,305113,1924321,3892178,5679261,3237228,1720824,191641,59238,13178,76494,69111,62412,51309,548850,232208,794236,,,,
1993_MICHIGAN,MICHIGAN,1993,1600650,11034174,594226,3326748,7113200,11430958,5411969,3689748,715410,932700,11704,132658,120049,116702,87447,973756,423081,1408541,,,,
1993_MINNESOTA,MINNESOTA,1993,781566,4862635,213724,2284106,2364805,5290504,2756415,1327959,466306,512196,6656,62345,63194,63105,54642,507979,233253,747888,,,,
1993_MISSISSIPPI,MISSISSIPPI,1993,329408,1170109,174870,612301,382938,1167032,652571,318799,89766,87575,2197,37622,39236,39815,26156,319394,131112,452703,,,,
1993_MISSOURI,MISSOURI,1993,834636,4196601,271548,1939230,1985823,4234845,2229886,1250115,227686,399553,13950,65679,66445,66371,50195,536039,241874,791863,,,,
1993_MONTANA,MONTANA,1993,158875,813998,74386,445532,294080,833435,446245,261677,64200,49720,483,12021,12967,12834,10325,103488,46111,150082,,,,
1993_NEBRASKA,NEBRASKA,1993,281354,1625242,94308,509432,1021502,1642376,972575,424311,57564,141118,3577,21374,22391,22611,18578,178475,81671,263723,,,,
1993_NEVADA,NEVADA,1993,222846,1148268,52876,753277,342115,1265367,611914,360827,41799,195478,1237,19179,19305,17825,12749,153912,60727,215876,,,,
