State Name,American Indian/Alaska Native Students ,Asian or Asian/Pacific Islander Students ,Black Students ,Hispanic Students ,White Students ,Hawaiian Nat./Pacific Isl. Students ,Two or More Races Students,Year
MINNESOTA,14445,58247,93636,79090,590306,613,38684,2017
MISSISSIPPI,1169,5117,236086,17399,214318,281,8780,2017
MISSOURI,3572,17893,146956,56454,655214,2392,32559,2017
MONTANA,16453,1146,1263,6592,115625,344,4952,2017
NEBRASKA,4435,8520,21372,59388,213545,475,11459,2017
NEVADA,4357,26048,51252,199362,157259,6590,28876,2017
NEW HAMPSHIRE,464,5838,3576,9360,156031,157,5462,2017
NEW JERSEY,1785,138053,223508,389445,630273,3107,24250,2017
NEW MEXICO,34138,3874,6509,204403,81050,479,5810,2017
NEW YORK,18399,248288,474539,723697,1197880,6855,60118,2017
NORTH CAROLINA,19801,49270,396371,261704,758347,2073,62496,2017
NORTH DAKOTA,9521,1665,4969,5127,85714,322,2388,2017
OHIO,2110,38775,282438,92732,1207428,1332,85328,2017
OKLAHOMA,96746,13891,60863,116635,342516,2358,60894,2017
OREGON,8184,23067,13654,131089,364581,4172,34200,2017
PENNSYLVANIA,2766,65341,255433,189741,1149937,1411,62868,2017
PUERTO RICO,263,45,70,364311,469,23,0,2017
RHODE ISLAND,1032,4546,12010,35099,83492,223,5748,2017
SOUTH CAROLINA,2446,11862,261893,69659,394671,1050,29275,2017
SOUTH DAKOTA,15315,2397,4187,7526,101719,130,5028,2017
TENNESSEE,1640,19309,222368,96791,635526,978,24950,2017
TEXAS,20770,225324,675199,2810089,1505836,7700,115931,2017
U.S. VIRGIN ISLANDS,20,57,10195,2653,215,11,43,2017
UTAH,7325,11242,9303,111218,494110,10276,16327,2017
VERMONT,177,1740,1776,1661,80178,53,2843,2017
VIRGINIA,3582,87600,291039,194401,639677,1973,68754,2017
WASHINGTON,13861,82531,48223,251553,608696,11724,85123,2017
WEST VIRGINIA,257,1779,11867,4491,247566,131,7760,2017
WISCONSIN,9979,33625,80100,101677,608360,685,30006,2017
WYOMING,3376,791,1061,13182,73500,133,2127,2017
ALABAMA,6102,9614,261255,35389,440519,139,2534,2011
ALASKA,30433,7816,4788,7802,68967,2740,9558,2011
AMERICAN SAMOA,–,–,–,–,–,†,†,2011
ARIZONA,55312,30080,59549,452283,459348,2347,12832,2011
ARKANSAS,3369,6828,103637,47340,312372,2151,6417,2011
BUREAU OF INDIAN EDUCATION,41962,0,0,0,0,†,†,2011
CALIFORNIA,43546,688613,416299,3197490,1655539,35807,179880,2011
COLORADO,7452,24493,40537,266098,479327,1844,23565,2011
CONNECTICUT,2100,24070,74130,104312,347739,296,7899,2011
DELAWARE,635,4393,41737,15988,64784,48,1818,2011
DEPARTMENT OF DEFENSE EDUCATION ACTIVITY,–,–,–,–,–,†,†,2011
DISTRICT OF COLUMBIA,52,963,55441,8980,5093,64,691,2011
FLORIDA,10493,64900,607134,740786,1137860,2980,79194,2011
GEORGIA,3959,55150,621222,200086,745145,1630,49875,2011
GUAM,320,6997,69,33,590,21748,1861,2011
HAWAII,1071,63125,4444,7996,25962,61954,15049,2011
IDAHO,3846,3577,2819,43795,216683,976,4163,2011
ILLINOIS,6846,85509,384701,479515,1072617,2266,60200,2011
INDIANA,3376,16948,126783,88133,765473,522,45997,2011
IOWA,2362,9914,25215,42295,404160,709,11120,2011
KANSAS,6184,12037,35958,79129,329036,759,20598,2011
KENTUCKY,941,9123,72915,26188,551461,420,12080,2011
LOUISIANA,6585,10140,316083,18145,338126,382,7097,2011
MAINE,1385,1990,3347,2766,174828,102,4659,2011
MARYLAND,3047,48693,305310,98404,366004,1246,29507,2011
MASSACHUSETTS,2382,52770,78825,147524,650166,1053,22843,2011
MICHIGAN,13003,41553,301176,92734,1107198,1522,29881,2011
MINNESOTA,16296,50153,77015,60175,618819,551,15028,2011
MISSISSIPPI,930,4550,244634,12360,225697,99,2256,2011
MISSOURI,4341,16984,156941,41691,686147,1096,11510,2011
MONTANA,15734,1194,1378,4996,115827,367,2197,2011
NEBRASKA,4413,6013,19990,47900,211205,337,8642,2011
NEVADA,5705,26682,43225,169236,169220,4527,18554,2011
NEW HAMPSHIRE,653,5244,3821,7231,174778,126,2858,2011
NEW JERSEY,1864,121265,234395,309673,722642,3254,9455,2011
NEW MEXICO,34530,4194,7151,200774,88009,203,3261,2011
NEW YORK,14541,226894,519113,611873,1346498,0,16036,2011
NORTH CAROLINA,22199,36411,394635,187967,792461,1127,55805,2011
NORTH DAKOTA,8789,1072,2318,95,80661,195,3193,2011
NORTHERN MARIANAS,0,4248,0,0,66,6747,44,2011
OHIO,2519,30048,285091,60506,1301921,593,73513,2011
OKLAHOMA,116597,12252,67107,81009,360125,1864,20957,2011
OREGON,10406,21720,14599,115102,372194,3513,23794,2011
PENNSYLVANIA,2892,55885,280981,149247,1276052,1029,27198,2011
PUERTO RICO,463,35,76,472649,461,47,4,2011
RHODE ISLAND,951,4158,11457,29917,93683,210,3417,2011
SOUTH CAROLINA,2111,9582,263034,46202,387520,870,16519,2011
SOUTH DAKOTA,14683,1731,3144,4352,100680,137,1401,2011
TENNESSEE,1902,15772,236013,60549,664947,1068,7171,2011
TEXAS,23607,169358,638377,2480792,1539026,6131,78424,2011
U.S. VIRGIN ISLANDS,28,49,11890,3086,228,18,196,2011
UTAH,7816,10726,8468,88285,456510,9216,4531,2011
VERMONT,268,1496,1787,1307,89899,67,2034,2011
VIRGINIA,4251,73220,301427,142536,677123,1713,51170,2011
WASHINGTON,17570,75098,50048,187783,655984,9025,48280,2011
WEST VIRGINIA,338,2006,14786,3139,260278,57,2275,2011
WISCONSIN,11625,30583,86665,80826,648801,582,13204,2011
WYOMING,2937,720,1022,10932,72070,117,1211,2011
ALABAMA,6178,10095,251078,41340,425302,553,11658,2014
ALASKA,31311,8106,4463,8602,64424,3183,10855,2014
AMERICAN SAMOA,–,–,–,–,–,–,–,2014
ARIZONA,52618,30512,57269,485696,448503,3247,24600,2014
ARKANSAS,3131,7335,102803,54994,309179,2874,9663,2014
