,STATE,YEAR,TOTAL_JAIL_ADM,ASIAN_JAIL_POP,BLACK_JAIL_POP,LATINO_JAIL_POP,NATIVE_JAIL_POP,WHITE_JAIL_POP,ASIAN_PRISON_POP,BLACK_PRISON_POP,LATINO_PRISON_POP,NATIVE_PRISON_POP,OTHER_PRISON_POP,WHITE_PRISON_POP
430,TENNESSEE,2007,170321.0,0.07715198941915574,40.06392593409016,4.761379918439325,0.06613027664499063,57.51129725559352,0.0,45.36551241692899,2.4221755858691854,0.08744316194473592,0.15739769150052466,51.96747114375656
431,TENNESSEE,2008,135485.0,0.0701426233341127,40.261865793780686,5.061959317278466,0.03507131166705635,59.18868365676876,0.0,45.80505557194846,3.0294088718402676,0.07868594472312383,0.1377004032654667,50.94914920822268
432,TENNESSEE,2009,172339.0,0.13008130081300812,37.13821138211382,3.67479674796748,0.04336043360433604,55.924119241192415,0.0,45.08949272002226,2.930538811091533,0.06491699897987573,0.24112028192525273,51.67393118798108
433,TENNESSEE,2010,235533.0,0.08947402057902473,51.38365181823992,2.9398606761679553,0.03834600881958203,40.75541637374577,0.0,60.200185142328166,2.435778754917843,0.040499884286044896,0.23142791020597087,37.09210830826198
434,TENNESSEE,2011,175402.0,0.10790396547073104,32.71288553187663,4.675838503731679,0.0899199712256092,63.34861972844169,0.0,45.66991125107357,2.691096478671629,0.08588605782994561,0.15745777268823363,51.39564843973662
435,TENNESSEE,2012,210939.0,0.17077335935594046,26.778889159957714,3.12271285679434,0.12198097096852892,54.87517280637554,0.0,43.872053872053876,2.7878787878787876,0.07407407407407407,0.3232323232323232,52.94276094276095
436,TENNESSEE,2013,163873.0,0.1963350785340314,35.32161555721765,2.81413612565445,0.10284218399401646,52.916978309648464,0.0,48.09729638104924,2.9155013136706502,0.042376472582422234,0.2288329519450801,48.71599288075261
437,TENNESSEE,2014,199677.0,0.12719178704460798,34.17825020441537,2.9708367402562006,0.08176614881439084,66.55764513491414,0.0,43.520665666348386,2.6258354931114445,0.06820351930159596,0.21143090983494747,53.573864411403626
438,TENNESSEE,2015,226701.0,0.21553325901151987,32.76105536975103,1.8431809736157563,0.08918617614269789,67.12746191007061,0.0,41.14419538307126,2.6764804282368684,0.10036801605888257,0.19404483104717296,55.88491134158582
439,TEXAS,2001,547370.0,0.40176009183087813,22.502391429118042,39.95408456093361,0.1760091830878133,35.77195331930362,0.0,30.205345637444402,29.974643554890466,0.0,0.3470923224009644,39.47291848526417
440,TEXAS,2002,562095.0,0.35838279762571396,21.629895098368614,41.9158547056408,0.17545824467092247,35.147646246313506,0.0,29.542591717839713,30.162572823177452,0.0,0.36017949929145016,39.93465595969139
441,TEXAS,2003,564022.0,0.3267514580844635,20.079404117771062,41.08636076171738,0.1721593703885883,34.695383318108355,0.0,28.992245143803647,30.317346785122723,0.0,0.3726848366209908,40.31584098780304
442,TEXAS,2004,1258745.0,0.3509120402555699,29.916906677260236,29.218393087694906,0.13738537425100142,39.95265997947496,0.0,39.061812619709926,28.814981760099627,0.0,0.5624251284237883,31.560780491766664
443,TEXAS,2005,1150661.0,0.351707699231577,32.45211941393163,26.6597769739803,0.17835414131648694,39.862984014801725,0.0,38.487997321797806,29.614483297339522,0.0,0.49034731293611045,31.40717206792656
444,TEXAS,2006,1055480.0,0.3604040404040404,32.5220202020202,28.124444444444446,0.18424242424242424,38.026666666666664,0.0,38.01327425016058,30.131769316110113,0.0,0.4911342801346889,31.363822153594622
445,TEXAS,2007,1105754.0,0.3090941288214176,30.948049648244442,28.552570149878452,0.1996232915304989,38.65608448572854,0.0,37.64041677701913,30.444359751174044,0.0,0.4812443881736614,31.43397908363317
446,TEXAS,2008,1093842.0,0.3369282846571676,31.627174683145714,29.13642446666142,0.22199480437691885,37.4887821774384,0.0,37.65084318703596,31.13748712996655,0.0,0.47003600411841073,30.741633678879076
447,TEXAS,2009,1052682.0,0.2838611459109722,31.836851202841782,29.258313642778983,0.2077419559460188,38.66220523636594,0.0,37.0792756955028,31.805853330922428,0.0,0.4798129827189833,30.635057990855785
448,TEXAS,2010,1032617.0,0.3172327542818796,31.735476687968035,31.212347674897433,0.21047173120624704,37.389235438559034,0.0,36.383578018400655,32.4465751508485,0.0,0.4673283442588554,30.702518486491986
449,TEXAS,2011,1036202.0,0.3719512195121951,30.606707317073173,31.076219512195124,0.23170731707317072,36.625,0.0,36.389988687782804,32.307306663924315,0.0,0.4942667626491156,30.80843788564377
450,TEXAS,2012,998287.0,0.40451418947633516,28.338029055766295,31.11139093069743,0.23609777595895048,38.32968693434908,0.0,35.94408095149797,32.574633784535514,0.0,0.4715106884585839,31.009774575507933
451,TEXAS,2013,1042452.0,0.47662170535246173,20.80771491667064,30.59911348362804,0.2605531989260124,32.37850118361057,0.0,35.49177714604533,32.60846462445867,0.0,0.4689285050081033,31.430829724487896
452,TEXAS,2014,982877.0,0.47019710282593213,22.34465289321618,28.800759914509616,0.2643869231378137,35.736562969999206,0.0,34.9955272768851,32.67172902696413,0.0,0.4869551180731643,31.845788578077606
453,TEXAS,2015,940712.0,0.40964209358118586,27.720203025802554,26.705074013023683,0.2611264341553376,41.03438708729783,0.0,34.04030919136659,33.31700280340763,0.0,0.5137312539125227,32.12895675131325
454,UTAH,2001,33262.0,0.906183368869936,5.756929637526652,20.84221748400853,5.1705756929637525,64.97867803837953,4.694835680751173,9.107981220657276,20.187793427230048,0.7042253521126761,0.3755868544600939,64.92957746478874
455,UTAH,2002,26898.0,0.8602150537634409,6.881720430107527,20.268817204301076,3.2795698924731185,60.64516129032258,4.434180138568129,9.237875288683602,18.983833718244803,0.9237875288683602,0.5080831408775982,65.91224018475751
