,STATE,YEAR,PRISONER_COUNT,STATE_POPULATION,VIOLENT_CRIME_TOTAL,PROPERTY_CRIME_TOTAL
143,SOUTH DAKOTA,2003,3019,764905.0,1329.0,15324.0
144,TENNESSEE,2003,19141,5845208.0,40409.0,256565.0
145,TEXAS,2003,153056,22103374.0,122246.0,1016735.0
146,UTAH,2003,4623,2352119.0,5889.0,100084.0
147,VERMONT,2003,1491,619343.0,707.0,13803.0
148,VIRGINIA,2003,30915,7365284.0,20490.0,200449.0
149,WASHINGTON,2003,16227,6131298.0,21272.0,291542.0
150,WEST VIRGINIA,2003,3790,1811440.0,4627.0,42370.0
151,WISCONSIN,2003,22153,5474290.0,12104.0,157684.0
152,WYOMING,2003,1630,502111.0,1314.0,16648.0
154,ALABAMA,2004,25635,4525375.0,19324.0,182340.0
155,ALASKA,2004,4534,657755.0,4159.0,22172.0
156,ARIZONA,2004,32384,5739879.0,28952.0,291203.0
157,ARKANSAS,2004,12577,2750000.0,13814.0,110911.0
158,CALIFORNIA,2004,163939,35842038.0,189175.0,1227194.0
159,COLORADO,2004,19655,4601821.0,17121.0,180322.0
160,CONNECTICUT,2004,17993,3498966.0,10113.0,93942.0
161,DELAWARE,2004,6753,830069.0,5105.0,27256.0
162,FLORIDA,2004,83165,17385430.0,123754.0,727141.0
163,GEORGIA,2004,51104,8918129.0,40217.0,376656.0
164,HAWAII,2004,5555,1262124.0,3213.0,60525.0
165,IDAHO,2004,5758,1395140.0,3452.0,38799.0
166,ILLINOIS,2004,44054,12712016.0,69365.0,403486.0
167,INDIANA,2004,21984,6226537.0,20294.0,211929.0
168,IOWA,2004,8525,2952904.0,8499.0,85775.0
169,KANSAS,2004,8991,2733697.0,10330.0,109771.0
170,KENTUCKY,2004,13322,4141835.0,10152.0,105209.0
171,LOUISIANA,2004,19470,4506685.0,28844.0,199153.0
172,MAINE,2004,2013,1314985.0,1364.0,31740.0
173,MARYLAND,2004,23289,5561332.0,38961.0,202474.0
174,MASSACHUSETTS,2004,9825,6407382.0,29489.0,158150.0
175,MICHIGAN,2004,48831,10104206.0,49737.0,309805.0
176,MINNESOTA,2004,7983,5096546.0,13751.0,155019.0
177,MISSISSIPPI,2004,16359,2900768.0,8568.0,100980.0
178,MISSOURI,2004,30682,5759532.0,28226.0,224629.0
179,MONTANA,2004,2703,926920.0,2723.0,27215.0
180,NEBRASKA,2004,4137,1747704.0,5393.0,61512.0
181,NEVADA,2004,11033,2332898.0,14379.0,98215.0
182,NEW HAMPSHIRE,2004,2443,1299169.0,2202.0,26658.0
183,NEW JERSEY,2004,25435,8685166.0,30943.0,211313.0
184,NEW MEXICO,2004,6403,1903006.0,13081.0,79895.0
185,NEW YORK,2004,64024,19280727.0,84914.0,422734.0
186,NORTH CAROLINA,2004,35544,8540468.0,38244.0,355328.0
187,NORTH DAKOTA,2004,1130,636308.0,558.0,12493.0
188,OHIO,2004,44150,11450143.0,38787.0,419337.0
189,OKLAHOMA,2004,22621,3523546.0,17635.0,149472.0
190,OREGON,2004,12652,3591363.0,10724.0,166475.0
191,PENNSYLVANIA,2004,40506,12394471.0,50998.0,299611.0
192,RHODE ISLAND,2004,3169,1079916.0,2673.0,31166.0
193,SOUTH CAROLINA,2004,22650,4197892.0,33160.0,190456.0
194,SOUTH DAKOTA,2004,3053,770621.0,1319.0,14885.0
195,TENNESSEE,2004,19331,5893298.0,41113.0,254991.0
196,TEXAS,2004,156682,22471549.0,121554.0,1010702.0
197,UTAH,2004,4720,2420708.0,5647.0,97762.0
198,VERMONT,2004,1968,621233.0,713.0,14559.0
199,VIRGINIA,2004,31072,7481332.0,20608.0,200368.0
200,WASHINGTON,2004,16503,6207046.0,21330.0,300837.0
201,WEST VIRGINIA,2004,3990,1812548.0,5110.0,46326.0
202,WISCONSIN,2004,22152,5503533.0,11548.0,146710.0
203,WYOMING,2004,1765,505887.0,1163.0,16889.0
205,ALABAMA,2005,24315,4548327.0,19678.0,177393.0
206,ALASKA,2005,4798,663253.0,4194.0,23975.0
207,ARIZONA,2005,33345,5953007.0,30478.0,287345.0
208,ARKANSAS,2005,12455,2775708.0,14670.0,112914.0
209,CALIFORNIA,2005,168035,36154147.0,190178.0,1200531.0
210,COLORADO,2005,21063,4663295.0,18498.0,188449.0
211,CONNECTICUT,2005,17928,3500701.0,9542.0,90270.0
212,DELAWARE,2005,6788,841741.0,5332.0,26245.0
213,FLORIDA,2005,86559,17768191.0,125957.0,712998.0
214,GEORGIA,2005,48749,9132553.0,40725.0,378534.0
215,HAWAII,2005,5739,1273278.0,3253.0,61115.0
216,IDAHO,2005,6249,1429367.0,3670.0,38556.0
217,ILLINOIS,2005,44919,12765427.0,70496.0,394670.0
218,INDIANA,2005,22760,6266019.0,20302.0,216778.0
219,IOWA,2005,8737,2965524.0,8697.0,84370.0
220,KANSAS,2005,9090,2748172.0,10701.0,104588.0
221,KENTUCKY,2005,14904,4172608.0,11134.0,105608.0
222,LOUISIANA,2005,19371,4507331.0,26889.0,166611.0
223,MAINE,2005,1970,1318220.0,1483.0,31889.0
224,MARYLAND,2005,22553,5589599.0,39369.0,198483.0
225,MASSACHUSETTS,2005,10348,6433367.0,29644.0,151727.0
226,MICHIGAN,2005,49493,10100833.0,55936.0,312892.0
227,MINNESOTA,2005,8718,5126739.0,15243.0,158301.0
228,MISSISSIPPI,2005,16089,2908496.0,8131.0,95231.0
229,MISSOURI,2005,30415,5797703.0,30477.0,227809.0
230,MONTANA,2005,2822,934737.0,2634.0,29407.0
231,NEBRASKA,2005,4405,1758163.0,5052.0,60348.0
232,NEVADA,2005,11662,2412301.0,14654.0,102424.0
233,NEW HAMPSHIRE,2005,2423,1306819.0,1761.0,24031.0
234,NEW JERSEY,2005,25619,8703150.0,30919.0,203391.0
235,NEW MEXICO,2005,6571,1925985.0,12448.0,79575.0
236,NEW YORK,2005,63032,19315721.0,85839.0,405990.0
