,STATE,YEAR,TOTAL_EXPENDITURE,INSTRUCTION_EXPENDITURE,4TH_ENROLLED,8TH_ENROLLED,TOTAL_ENROLLMENT,4_AVG_MATH_SCORE,8_AVG_MATH_SCORE,4_AVG_RDG_SCORE,8_AVG_RDG_SCORE,PRISONER_COUNT,STATE_POPULATION,VIOLENT_CRIME_TOTAL,PROPERTY_CRIME_TOTAL,TOTAL_JAIL_ADM,ASIAN_JAIL_POP,BLACK_JAIL_POP,LATINO_JAIL_POP,NATIVE_JAIL_POP,WHITE_JAIL_POP,ASIAN_PRISON_POP,BLACK_PRISON_POP,LATINO_PRISON_POP,NATIVE_PRISON_POP,OTHER_PRISON_POP,WHITE_PRISON_POP
249,NEBRASKA,2004,2667987.0,1471641.0,20429.0,22267.0,264556.0,,,,,4137,1747704.0,5393.0,61512.0,56620.0,0.7369614512471655,32.31292517006803,10.260770975056689,4.931972789115646,56.859410430839,0.5657708628005658,34.51202263083451,9.476661951909476,3.818953323903819,0.14144271570014144,51.48514851485149
250,NEBRASKA,2005,2708776.0,1487488.0,20290.0,21998.0,264758.0,237.70617850000002,283.962991,221.3774628,260.7823834,4405,1758163.0,5052.0,60348.0,53594.0,0.6736068585425597,36.86466625842009,6.4298836497244345,3.7966932026944273,61.604409063074094,0.5518763796909493,38.079470198675494,9.161147902869757,3.863134657836645,0.03679175864606328,48.30757910228109
251,NEBRASKA,2006,2867250.0,1570629.0,20338.0,21622.0,265500.0,,,,,4399,1768331.0,5197.0,59411.0,36141.0,0.39421813403416556,36.662286465177395,4.402102496714849,2.562417871222076,60.31537450722734,0.5399151561897416,39.838025453143075,9.371384496721943,3.5094485152333204,0.19282684149633628,46.54839953721558
252,NEBRASKA,2007,3117931.0,1673992.0,20519.0,21047.0,268656.0,238.04080860000002,283.6505986,222.90255430000002,273.2840488,4402,1774571.0,5524.0,55765.0,41913.0,1.2175754367390152,33.1921651667549,7.887771307570143,2.541026998411858,60.50820539968237,0.9533537623425264,37.41913517194416,10.28260129383725,3.268641470888662,0.17024174327545114,47.906026557711954
253,NEBRASKA,2008,3325663.0,1784350.0,20939.0,20958.0,269800.0,,,,,4470,1783432.0,5570.0,51350.0,42169.0,0.7356805044666317,37.57225433526011,13.662637940094587,3.1003678402522334,48.8702049395691,1.1028103877623623,40.128068303094985,9.000355745286374,4.517965136961935,0.2845962290999644,44.96620419779438
254,NEBRASKA,2009,3523803.0,1887427.0,21517.0,20834.0,271791.0,238.74846340000002,284.2590935,222.52330730000003,261.89815,4490,1796619.0,5199.0,49731.0,43111.0,0.5277044854881267,28.49604221635884,17.89797713280563,3.825857519788918,43.97537379067722,0.9800718719372754,36.68735707285201,9.53936622018948,4.8023521724926495,0.6207121855602744,47.37014047696831
255,NEBRASKA,2010,3640199.0,2089854.0,21901.0,20875.0,275089.0,,,,,4608,1830141.0,5093.0,48827.0,48033.0,0.7982261640798226,29.3569844789357,21.729490022172946,3.1929046563192904,41.99556541019956,0.8936550491510277,34.673815907059875,11.438784629133155,4.08102472445636,0.5361930294906166,48.37652666070897
256,NEBRASKA,2011,3676326.0,2101943.0,22279.0,21115.0,277501.0,239.8032687,283.1970448,223.31172599999996,270.1489602,4657,1842234.0,4672.0,50894.0,52734.0,0.7636655948553055,29.70257234726688,22.709003215434084,2.130225080385852,46.62379421221865,1.0936623667975323,34.77285473920359,11.189007291082445,3.3090297251822767,0.6449803701626472,48.99046550757151
257,NEBRASKA,2012,3880517.0,2247992.0,22583.0,21438.0,281410.0,,,,,4721,1855350.0,4802.0,51203.0,47046.0,0.5711565920990005,32.36554021894336,16.991908614945263,3.426939552594003,43.3127082341742,0.8692952499223843,36.54144675566594,9.810617820552624,3.4150884818379383,0.7140639552933872,48.64948773672773
258,NEBRASKA,2013,3913038.0,2318463.0,23097.0,22089.0,283652.0,243.15792909999996,285.0613485,223.25278509999998,253.1478182,5012,1868969.0,4949.0,49197.0,38291.0,0.765420981539847,29.89644304367402,17.199459702836563,3.9171544349392162,44.75461503827105,0.6449532408900355,38.50370848113512,10.319251854240568,4.063205417607223,0.709448564979039,45.75943244114802
